superclase;type;code;titulo;titulo_en;definiciones;competencias;definiciones_en;tasks_include;inversa
ocupaciones;clase;1;Directores y gerentes;Managers;Los directivos planifican, dirigen, coordinan y evalúan las actividades generales de empresas, gobiernos y otras organizaciones, o de unidades organizativas dentro de ellas, y formulan y revisan sus políticas, leyes, normas y reglamentos.;"formular y asesorar sobre la política, los presupuestos, las leyes y los reglamentos de empresas, gobiernos y otras unidades organizativas; establecer objetivos y normas y formular y evaluar programas y políticas y procedimientos para su aplicación; garantizar la elaboración y aplicación de sistemas y procedimientos adecuados para proporcionar control presupuestario; autorizar los recursos materiales, humanos y financieros para aplicar las políticas y programas; supervisar y evaluar el rendimiento de la organización o empresa y de su personal; seleccionar o aprobar la selección de personal; garantizar el cumplimiento de los requisitos de salud y seguridad; planificar y dirigir las operaciones diarias; representar y negociar en nombre del gobierno, empresa o unidad organizativa gestionada en reuniones y otros foros.";Managers plan, direct, coordinate and evaluate the overall activities of enterprises, governments and other organizations, or of organizational units within them, and formulate and review their policies, laws, rules and regulations. Competent performance in most occupations in this major group requires skills at the fourth ISCO skill level, except for Sub-major group 14: Hospitality, Retail and Other Services Managers, for which skills at the third ISCO skill level are generally required.;"Tasks performed by managers usually include: formulating and advising on the policy, budgets, laws and regulations of enterprises, governments and other organizational units; establishing objectives and standards and formulating and evaluating programmes and policies and procedures for their implementation; ensuring appropriate systems and procedures are developed and implemented to provide budgetary control; authorising material, human and financial resources to implement policies and programmes; monitoring and evaluating performance of the organization or enterprise and of its staff; selecting or approving the selection of  staff; ensuring compliance with health and safety requirements; planning and directing daily operations; representing and negotiating on behalf of the government, enterprise or organizational unit managed in meetings and other forums.";
ocupaciones;clase;11;Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos;Chief Executives, Senior Officials and Legislators;Los directores ejecutivos, altos funcionarios y legisladores formulan y revisan las políticas, y planifican, dirigen, coordinan y evalúan las actividades generales de empresas, gobiernos y otras organizaciones con el apoyo de otros directivos.;"presidir o participar en las deliberaciones de órganos legislativos, consejos de administración y comités; formular y asesorar sobre los presupuestos políticos, leyes y reglamentos de empresas, gobiernos y otras organizaciones; establecer objetivos para empresas, departamentos o agencias gubernamentales y otras organizaciones; formular o aprobar y evaluar programas y políticas y procedimientos para su aplicación; Garantizar el desarrollo y la aplicación de sistemas y procedimientos adecuados para el control presupuestario; autorizar recursos materiales, humanos y financieros para la aplicación de políticas y programas; supervisar y evaluar el rendimiento de la organización o empresa; seleccionar o aprobar la selección de personal directivo; desempeñar funciones ceremoniales y representar a la empresa, gobierno, organización o comunidad en actos oficiales y en reuniones, negociaciones, convenciones y audiencias públicas.";Chief executives, senior officials and legislators formulate and review the policies, and plan, direct, coordinate and evaluate the overall activities, of enterprises, governments and other organizations with the support of other managers. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.;"Tasks performed by workers in this sub-major group usually include: presiding over or participating in the proceedings of legislative bodies, boards of directors and committees; formulating and advising on the policy budgets, laws and regulations of enterprises, governments and other organizations; establishing objectives for enterprises, government departments or agencies and other organizations; formulating or approving and evaluating programmes and policies and  procedures for their implementation; ensuring appropriate systems and procedures are developed and implemented to provide budgetary control; authorizing material, human and financial resources to implement policies and programmmes; monitoring and evaluating performance of the organization or enterprise; selecting or approving the selection of senior staff; performing ceremonial duties and representing the enterprise, government, organization or community at official occasions and in meetings, negotiations, conventions and public hearings.";
ocupaciones;clase;112;Directores generales y gerentes generales;Managing Directors and Chief Executives;"Los directores generales y ejecutivos jefe formulan y revisan las políticas y planifican, dirigen, coordinan y evalúan las actividades generales de las empresas u organizaciones (excepto las organizaciones de interés especial y los departamentos gubernamentales) con el apoyo de otros directivos, normalmente dentro de las directrices establecidas por un consejo de administración o un órgano de gobierno ante el que son
responsables de las operaciones realizadas y los resultados.";"planificar, dirigir y coordinar el funcionamiento general de una empresa u organización; revisar las operaciones y resultados de la empresa u organización, e informar a los consejos de administración y órganos rectores; determinar los objetivos, estrategias, políticas y programas de la empresa u organización; proporcionar dirección y gestión generales a las organizaciones; establecer y gestionar presupuestos, controlar los gastos y garantizar el uso eficiente de los recursos; autorizar los recursos materiales, humanos y financieros para aplicar las políticas y programas de la organización; supervisar y evaluar el rendimiento de la organización o empresa en relación con los objetivos y políticas establecidos; consultar con el personal subordinado superior y revisar las recomendaciones e informes; representar a la organización en actos oficiales, en negociaciones, en convenciones, seminarios, audiencias públicas y foros; seleccionar o aprobar la selección del personal superior; garantizar que la organización cumple la legislación y los reglamentos pertinentes.";Managing directors and chief executives formulate and review the policies and plan, direct, coordinate and evaluate the overall activities of enterprises or organizations (except special-interest organizations and government departments) with the support of other managers, usually within guidelines established by a board of directors or a governing body to whom they are answerable for the operations undertaken and results.;"Tasks performed usually include: planning, directing and coordinating the general functioning of an enterprise or organization; reviewing the operations and results of the enterprise or organization, and reporting to boards of directors and governing bodies; determining objectives, strategies, policies and programmes for the enterprise or organization; providing overall direction and management to organizations; establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources; authorizing material, human and financial resources to implement organizational policies and programmes; monitoring and evaluating performance of the organization or enterprise against established objectives and policies; consulting with senior subordinate staff and reviewing recommendations and reports; representing the organization at official occasions, in negotiations, at conventions, seminars, public hearings and forums; selecting or approving the selection of senior staff; ensuring the organization complies with relevant legislation and regulations.";
ocupaciones;clase;1120;Directores generales y gerentes generales;Managing Directors and Chief Executives;"Los directores generales y ejecutivos jefe formulan y revisan las políticas y planifican, dirigen, coordinan y evalúan las actividades generales de las empresas u organizaciones (excepto las organizaciones de interés especial y los departamentos gubernamentales) con el apoyo de otros directivos, normalmente dentro de las directrices establecidas por un consejo de administración o un órgano de gobierno ante el que son responsables de las operaciones
realizadas y los resultados. ";"(a) planificar, dirigir y coordinar el funcionamiento general de una empresa u organización; (b)
revisar las operaciones y resultados de la empresa u organización e informar a los consejos de administración y órganos de gobierno;
(c)	determinar objetivos, estrategias, políticas y programas para la empresa u organización;
(d)	proporcionar liderazgo y gestión generales a la empresa u organización;
(e)	establecer y gestionar presupuestos, controlar los gastos y garantizar el uso eficiente de los recursos; ( f) autorizar los recursos materiales, humanos y financieros para aplicar las políticas y programas de la organización; (g)
supervisar y evaluar el rendimiento de la organización o empresa en relación con los objetivos y políticas establecidos; (h)
consultar con el personal subordinado superior y revisar las recomendaciones e informes;
(i) representar a la organización en ocasiones oficiales y reuniones del consejo, en negociaciones, en convenciones, seminarios, audiencias públicas y foros; (
j) seleccionar o aprobar la selección del personal superior;
(k) garantizar que la organización cumple la legislación y los reglamentos pertinentes.";Managing directors and chief executives formulate and review the policies and plan, direct, coordinate and evaluate the overall activities of enterprises or organizations (except special-interest organizations and government departments) with the support of other managers, usually within guidelines established by a board of directors or a governing body to whom they are answerable for the operations undertaken and results.;"Tasks include -
(a)  planning, directing and coordinating the general functioning of an enterprise or organization;
(b)  reviewing the operations and results of the enterprise, or organization and reporting to boards of directors and governing bodies;
(c)  determining objectives, strategies, policies and programmes for the enterprise or organization;
(d)  providing overall leadership and management to the enterprise or organization;
(e)  establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;
(f)  authorising material, human and financial resources to implement organizational policies and programmes;
(g)  monitoring and evaluating performance of the organization or enterprise against established objectives and policies;
(h)  consulting with senior subordinate staff and reviewing recommendations and reports;
(i)  representing the organization at official occasions and board meetings, in negotiations, at conventions, seminars, public hearings and forums; 
(j)  selecting or approving the selection of senior staff;
(k)  ensuring the organization complies with relevant legislation and regulations.";
ocupaciones;clase;12;Directores administradores y comerciales;Administrative and Commercial Managers;Los gestores administrativos y comerciales planifican, organizan, dirigen, controlan y coordinan las actividades financieras, administrativas, de recursos humanos, políticas, de planificación, investigación y desarrollo, publicidad, relaciones públicas y ventas y marketing de empresas y organizaciones, o de empresas que prestan tales servicios a otras empresas y organizaciones.;"formular y administrar el asesoramiento político y la planificación estratégica y financiera; establecer y dirigir los procedimientos operativos y administrativos; aplicar, supervisar y evaluar las estrategias y políticas; asesorar a los altos directivos; dirigir el desarrollo de iniciativas para nuevos productos, campañas de marketing, relaciones públicas y publicidad; determinar y dirigir las actividades de venta, la combinación de productos, las normas de servicio al cliente; fijar precios y acuerdos de crédito; Garantizar el cumplimiento de la legislación, los reglamentos y las normas pertinentes; controlar la selección, la formación y el rendimiento del personal; preparar presupuestos y supervisar las operaciones financieras; consultar con el director general y con los directores de otros departamentos o secciones; controlar los gastos y garantizar el uso eficiente de los recursos; representar a la
empresa u organización en negociaciones y en convenciones, seminarios, audiencias públicas y foros.";Administrative and commercial managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy, planning, research and development, advertising, public relations, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.;"Tasks performed by workers in this sub-major group usually include: formulating and administering policy advice, strategic and financial planning; establishing and directing operational and administrative procedures; implementing, monitoring and evaluating strategies and policies; providing advice to senior Managers; directing the development of initiatives for new products, marketing, public relations and advertising campaigns; determining and directing sales activities, product mix, customer service standards; setting prices and credit arrangements; ensuring compliance with relevant legislation, regulations and standards; controlling selection, training and performance of staff; preparing budgets and overseeing financial operations; consulting with the chief executive and with managers of other departments or sections; controlling expenditure and ensuring the efficient use of resources; representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums.";
ocupaciones;clase;121;Directores de administración y servicios;Business Services and Administration Managers;"Los gestores de servicios y administración de empresas planifican, organizan, dirigen, controlan y coordinan las actividades financieras, administrativas, de recursos humanos, políticas y de planificación de organizaciones, o de empresas que
prestan dichos servicios a otras empresas y organizaciones.";"formular y administrar el asesoramiento político y la planificación estratégica y financiera; establecer y dirigir los procedimientos operativos y administrativos; aplicar, supervisar y evaluar las estrategias y políticas; asesorar a los altos directivos y a los miembros del consejo de administración sobre cuestiones financieras, administrativas estratégicas, políticas, programáticas y legislativas; garantizar el cumplimiento de la legislación, los reglamentos y las normas pertinentes; controlar la selección, la formación y el rendimiento del personal; preparar presupuestos y supervisar las operaciones financieras; consultar con el director general y con los responsables de otros departamentos o secciones; controlar los gastos y garantizar el uso eficiente de los recursos; representar a la organización en negociaciones y en convenciones, seminarios,
audiencias públicas y foros.";Business services and administration managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy and planning activities of organizations, or of enterprises that provide such services to other enterprises and organizations.;"Tasks performed usually include: formulating and administering policy advice, strategic and financial planning; establishing and directing operational and administrative procedures; implementing, monitoring and evaluating strategies and policies; providing advice to senior managers and board members on financial, administrative strategic, policy, programme and legislative issues; ensuring compliance with relevant legislation, regulations and standards; controlling selection, training and performance of staff; preparing budgets and overseeing financial operations; consulting with the chief executive and with managers of other departments or sections; controlling expenditure and ensuring the efficient use of resources; representing the organization in negotiations, and at conventions, seminars, public hearings and forums.";
ocupaciones;clase;1211;Directores financieros;Finance Managers;"Los directores financieros planifican, dirigen y coordinan las operaciones financieras de una empresa u organización, en consulta con los altos directivos y con los responsables de otros departamentos o secciones, o de empresas que prestan servicios financieros a otras empresas y
organizaciones.";"(a) planificar, dirigir y coordinar las operaciones financieras de una empresa u organización; (b)
evaluar la situación financiera de la empresa u organización, preparar los presupuestos y supervisar las operaciones financieras;
(c) consultar con el director general y con los directores de otros departamentos o secciones
; (d) establecer y gestionar los presupuestos, controlar los gastos y garantizar el uso eficiente de los recursos; (e) establecer y dirigir los procedimientos operativos y administrativos; (f) planificar y dirigir las operaciones diarias;
(g) supervisar la selección, formación y rendimiento del personal; (h) representar a la empresa u organización en las relaciones con el exterior; (e)
establecer y dirigir los procedimientos operativos y administrativos; ( f) planificar y dirigir las operaciones diarias;
(g)	supervisar la selección, formación y rendimiento del personal;
(h)	representar a la empresa u organización ante organismos externos.";Finance managers plan, direct and coordinate the financial operations of an enterprise or organization, in consultation with senior managers and with managers of other departments or sections, or of enterprises that provide financial services to other enterprises and organizations.;"Tasks include -
(a)  planning, directing and coordinating the financial operations of an enterprise or organization;
(b)  assessing the financial situation of the enterprise or organization, preparing budgets and overseeing financial operations;
(c)  consulting with the chief executive and with managers of other departments or sections
(d)  establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;
(e)  establishing and directing operational and administrative procedures;
(f)  planning and directing daily operations;
(g)  overseeing the selection, training and performance of staff;
(h)  representing the enterprise or organization in dealings with outside bodies.";
ocupaciones;clase;1212;Directores de recursos humanos;Human Resource Managers;"Los gestores de recursos humanos, planifican, dirigen y coordinan las políticas relativas a las actividades de personal, relaciones laborales y salud y seguridad en el trabajo de una empresa u organización, o de empresas que prestan servicios de recursos humanos
a otras empresas y organizaciones.";"(a) planificar, dirigir y coordinar las actividades, políticas y prácticas de personal y relaciones laborales de una empresa u organización; (b)
planificar y organizar los procedimientos de contratación, formación, promoción, traslado y despido del personal;
(c)	planificar y organizar las negociaciones y los procedimientos para determinar las estructuras y el nivel salarial y para consultar a los trabajadores sobre las condiciones de empleo;
(d)	supervisar la seguridad, la salud y los programas y actividades relacionados;
(e)	establecer y gestionar presupuestos, controlar los gastos y garantizar el uso eficiente de los recursos; ( f) establecer y dirigir los procedimientos operativos y administrativos; (g)
supervisar el desarrollo y la aplicación de los sistemas de información de gestión;
(h)	garantizar el cumplimiento de las normas y la legislación relativas a los derechos de los trabajadores, la salud y la seguridad, la igualdad de oportunidades y otras cuestiones relacionadas;
(i)	supervisar la selección, la formación y el rendimiento del personal de toda la empresa u
organización;
(j)	consultar con la alta dirección y con los responsables de otros departamentos;
(k)	representar a la empresa u organización ante organismos externos.";Human resource managers, plan, direct and coordinate policies concerning the personnel, industrial relations and occupational health and safety activities of an enterprise or organization, or of enterprises that provide human resource services to other enterprises and organizations.;"Tasks include -
(a)  planning, directing and coordinating the personnel and industrial relations activities, policies and practices of an enterprise or organization;
(b)  planning and organizing procedures for recruitment, training, promotion, transfer and dismissal of staff;
(c)  planning and organizing negotiations and procedures for determination of wage structures and level and for consultation with workers on conditions of employment;
(d)  overseeing safety, health and related programmes and activities;
(e)  establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;
(f)  establishing and directing operational and administrative procedures;
(g)  overseeing the development and implementation of management information systems;
(h)  ensuring compliance with standards and legislation relating to employees rights, health and safety, equal opportunity and related concerns;
(i)  overseeing the selection, training and performance of staff for the entire enterprise or organization;
(j)  consulting with senior management and with managers of other departments;
(k)  representing the enterprise or organization in dealings with outside bodies.";
ocupaciones;clase;1213;Directores de políticas y planificación;Policy and Planning Managers;"Los gestores de políticas y planificación planifican, organizan, dirigen y coordinan actividades de asesoramiento político y planificación estratégica dentro de la administración pública o para organizaciones no gubernamentales y
organismos del sector privado, o gestionan las actividades de empresas que prestan servicios de planificación política y estratégica.";"a)	desarrollar, aplicar y supervisar planes estratégicos, programas, políticas, procesos, sistemas y procedimientos para alcanzar metas, objetivos y normas de trabajo; (
b)	desarrollar, dirigir, administrar y participar en la investigación y el análisis de políticas;
(c) coordinar la aplicación de políticas y prácticas; (
d) establecer medidas de actividad y de rendición de cuentas; (e) planificar y dirigir las operaciones diarias;
(f)	dirigir y gestionar las actividades del personal de desarrollo de políticas y planificación estratégica;
(g)	supervisar la selección, formación y rendimiento del personal; (
h) consultar con la alta dirección y con los directivos de otros departamentos;
(i) representar a la empresa u organización en negociaciones y en convenciones, seminarios, audiencias públicas y foros.";Policy and planning managers plan, organize, direct and coordinate policy advice and strategic planning activities within government or for non-government organizations and private sector agencies, or manage the activities of enterprises that provide policy and strategic planning services.;"Tasks include – 
(a)  developing, implementing and monitoring strategic plans, programmes, policies, processes, systems and procedures to achieve goals, objectives and work standards; 
(b)  developing, directing, administering and participating in policy research and analysis;
(c)  coordinating the implementation of policies and practices; 
(d)  establishing activity measures and measurements of accountability;
(e)  planning and directing daily operations;
(f)  leading and managing the activities of policy development and strategic planning staff;
(g)  overseeing the selection, training and performance of staff; 
(h)  consulting with senior management and with managers of other departments;
(i)  representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums.";
ocupaciones;clase;1219;Directores de administración y servicios no clasificados bajo otros epígrafes;Business Services and Administration Managers Not Elsewhere Classified;"Este grupo de unidades abarca a los gerentes de servicios empresariales y de administración no clasificados en otro lugar del grupo menor 121: Gerentes de servicios empresariales y de administración. Por ejemplo, el grupo incluye ocupaciones como gerente de instalaciones, gerente de servicios de limpieza, gerente de servicios administrativos empleado ya sea como gerente de un departamento de una gran empresa y organización, o de una
empresa que proporciona tales servicios a otras empresas y organizaciones.";"(a) proporcionar apoyo administrativo, de planificación estratégica y operativa, investigación y asesoramiento a la alta dirección en asuntos como la gestión de las instalaciones de los edificios y los servicios administrativos; (b) desarrollar y gestionar los recursos administrativos y físicos de la organización; (c
) desarrollar y aplicar declaraciones y directrices administrativas y de procedimiento para uso del personal de la organización; (
d) analizar cuestiones e iniciativas complejas de gestión de recursos que afecten a la organización, y preparar informes, correspondencia y presentaciones asociados; (e)
proporcionar información y apoyo para la preparación de informes financieros y presupuestos;
(f)	dirigir, gestionar y desarrollar al personal administrativo para garantizar el buen funcionamiento de la empresa y el suministro de información precisa y oportuna;
(g)	representar a la empresa u organización en negociaciones y en convenciones, seminarios, audiencias públicas y foros;
(h)	establecer y gestionar presupuestos, controlar los gastos y garantizar el uso eficiente de los recursos;
(i)	planificar y dirigir las operaciones diarias;
(j)	supervisar la selección, formación y rendimiento del personal.";This unit group covers business services and administration managers not classified elsewhere in Minor Group 121: Business Services and Administration Managers. For instance, the group includes occupations such as facilities manager, cleaning services manager, administrative services manager employed either as the manager of a department of a large enterprise and organization, or of an enterprise that provides such services to other enterprises and organizations.;"In such cases tasks would include:
(a)  providing administrative, strategic planning and operational support, research and advice to senior management on matters such as the management of building facilities and administrative services;
(b)  developing and managing the organization's administrative and physical resources;
(c)  developing and implementing administrative and procedural statements and guidelines for use by staff in the organization; 
(d)  analysing complex resource management issues and initiatives that affect the organization, and preparing associated reports, correspondence and submissions;
(e)  providing information and support for the preparation of financial reports and budgets;
(f)  leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information;
(g)  representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums;
(h)  establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;
(i)  planning and directing daily operations;
(j)  overseeing the selection, training and performance of staff.";
