Competencia;Clase
Abrir interruptores o conectar dispositivos de puesta a tierra para eliminar riesgos eléctricos de líneas perturbadas o caídas o para facilitar las reparaciones;Sistémicas
Aceptar escritos y defender los casos ante los tribunales superiores;Básicas
Actualizar registros de clientes y preparar informes de ventas;Interpersonales
Actuar como fiscal en nombre del gobierno;Específicas
Actuar de enlace con los departamentos de compra, almacenamiento y control de materiales para garantizar un flujo constante de suministros;Sistémicas
Actuar de enlace con otros proveedores de servicios de bienestar y salud, juntas y organismos de financiación para discutir áreas de cooperación y coordinación de servicios de salud y bienestar;Sistémicas
Actuar de enlace con otros proveedores de servicios de salud y bienestar, consejos y organismos de financiación para coordinar la prestación de servicios;Sistémicas
Adaptar imágenes fotográficas existentes para crear nuevas imágenes digitalizadas que se incluirán en productos multimedia;Básicas
Adherirse a las prácticas y procedimientos de seguridad, como revisar el equipo regularmente y erigir barreras alrededor de las áreas de trabajo;Básicas
Administración de radiofármacos o radiaciones a pacientes para detectar o tratar enfermedades;Sistémicas
Administración y aplicación de programas de asistencia social y servicios comunitarios;Interpersonales
Administrar, detectar y cartografiar radiofármacos o radiaciones en el cuerpo de los pacientes, utilizando radioisótopos, cámaras u otros equipos para diagnosticar y tratar enfermedades;Interpersonales
Adquirir maquinaria, equipos y suministros;Interpersonales
Adquirir maquinaria, equipos y suministros como buques y redes;Instrumentales
Adquirir y actualizar conocimientos sobre los bienes y servicios de los empleadores y competidores, y sobre las condiciones del mercado;Específicas
Adquirir y actualizar conocimientos sobre los productos y servicios de los empleadores y competidores, y sobre las condiciones del mercado;Interpersonales
Ajustar, reparar y reemplazar piezas y cableado desgastados y defectuosos, y mantener máquinas, equipos e instrumentos;Instrumentales
Ajuste para operadores, o ajuste y operación de diversas máquinas herramienta;Interpersonales
Almacenar y conservar vacunas, sueros y otros fármacos sujetos a deterioro;Específicas
Almacenar, conservar, componer, probar y dispensar medicamentos y asesorar sobre su uso adecuado y sus efectos adversos;Instrumentales
Ampliar los conocimientos científicos mediante investigaciones y experimentos relacionados con la mecánica, la termodinámica, la óptica, la sónica, la electricidad, el magnetismo, la electrónica, la física nuclear, la astronomía, diversas ramas de la química, las condiciones atmosféricas y la naturaleza física de la tierra;Instrumentales
Ampliar o modificar los sistemas para mejorar el flujo de trabajo o servir a nuevos propósitos;Sistémicas
Analizar cuestiones e iniciativas complejas de gestión de recursos que afecten a la organización, y preparar informes, correspondencia y presentaciones asociados;Sistémicas
Analizar el comportamiento del suelo y la roca cuando se ven sometidos a presión por las estructuras propuestas y diseñar los cimientos estructurales;Específicas
Analizar el impacto de los proyectos industriales y la actividad humana en el clima y la calidad del aire y trabajar con las comunidades de ciencias sociales, ingeniería y economía para desarrollar estrategias de mitigación adecuadas;Sistémicas
Analizar el suelo para determinar los tipos y cantidades de fertilizantes necesarios para obtener la máxima producción;Interpersonales
Analizar fotografías, imágenes por satélite, documentos y datos de encuestas, mapas, registros, informes y estadísticas;Instrumentales
Analizar la estabilidad de las estructuras y probar el comportamiento y la durabilidad de los materiales utilizados en su construcción;Específicas
Analizar la información financiera para elaborar previsiones sobre las condiciones empresariales, industriales y económicas que se utilizarán en la toma de decisiones de inversión;Instrumentales
Analizar la utilización de la mano de obra, la disposición de las instalaciones, los datos operativos y los programas y costes de producción para determinar la eficiencia óptima de los trabajadores y los equipos;Sistémicas
Analizar las necesidades de clientes nuevos y existentes y proporcionar información especializada sobre cómo determinados equipos, suministros y servicios satisfacen esas necesidades;Básicas
Analizar las tendencias del mercado de valores, bonos, acciones y otros instrumentos financieros, incluidas las divisas;Instrumentales
Analizar y evaluar los sistemas y estructuras actuales;Sistémicas
Analizar y hacer recomendaciones para mejorar el rendimiento, incluida la actualización y adquisición de nuevos sistemas;Instrumentales
Analizar, desarrollar, interpretar y evaluar especificaciones complejas de diseño y arquitectura de sistemas, modelos de datos y diagramas en el desarrollo, configuración e integración de sistemas informáticos;Específicas
Analizar, diseñar y desarrollar sitios de internet aplicando una mezcla de arte y creatividad con lenguajes de programación de software y scripting e interfaces con entornos operativos;Específicas
Anotación de la posición exacta de diversas características y registro de datos topográficos en formato digital;Básicas
Análisis, desarrollo, interpretación y evaluación de especificaciones complejas de diseño y arquitectura de sistemas, modelos de datos y diagramas en el desarrollo, configuración e integración de sistemas informáticos;Específicas
Aplicación de técnicas artísticas al diseño de productos, la decoración de interiores y la promoción de ventas;Específicas
Aplicar conocimientos de principios y prácticas estadísticos, matemáticos, actuariales, contables y afines para identificar y resolver los problemas que surjan en el curso de su trabajo;Específicas
Aplicar el conocimiento de los principios y prácticas de contabilidad para identificar y resolver los problemas que surjan en el curso de su trabajo;Sistémicas
Aplicar el conocimiento de los principios y prácticas de grabación y edición de imágenes y sonido para identificar y resolver problemas;Sistémicas
Aplicar el conocimiento de los principios y prácticas de radiodifusión, terminales de telecomunicaciones y sistemas de transmisión, para identificar y resolver problemas;Sistémicas
Aplicar las matemáticas, la estadística, la probabilidad y la teoría del riesgo para evaluar las posibles repercusiones financieras de acontecimientos futuros;Específicas
Aplicar los conocimientos de ingeniería al diseño, desarrollo y evaluación de sistemas y productos biológicos y sanitarios, como órganos artificiales, prótesis e instrumentación;Específicas
Aplicar los conocimientos geológicos a problemas encontrados en proyectos de ingeniería civil como la construcción de presas, puentes, túneles y grandes edificios;Específicas
Aplicar los conocimientos técnicos de los principios y prácticas de la ingeniería de telecomunicaciones para identificar y resolver los problemas que surjan en el curso de su trabajo;Sistémicas
Aplicar principios, técnicas y procesos para desarrollar o mejorar aplicaciones industriales, médicas, militares y otras aplicaciones prácticas de los principios y técnicas de la física o la astronomía;Específicas
Aplicar principios, técnicas y procesos para desarrollar o mejorar aplicaciones industriales, médicas, militares y otras aplicaciones prácticas de los principios, las técnicas y los métodos de la física y la astronomía;Específicas
Aplicar sistemas y procedimientos para supervisar el rendimiento escolar y la matriculación de alumnos;Específicas
Aplicar, supervisar y evaluar las estrategias y políticas;Específicas
Apoyar el crecimiento y el desarrollo de las empresas mediante la preparación y ejecución de objetivos, políticas y programas de marketing;Específicas
Apoyar el crecimiento y el desarrollo empresarial mediante la preparación y ejecución de objetivos, políticas y programas de marketing;Específicas
Aprobar o rechazar las solicitudes de préstamo dentro de los límites autorizados, garantizando que se respetan las normas de crédito de la institución;Específicas
Aprobar o rechazar solicitudes dentro de los límites autorizados garantizando que se respetan las normas de crédito de la institución;Específicas
Aprobar o rechazar, o coordinar la aprobación o rechazo de líneas de crédito comerciales, inmobiliarias y préstamos personales;Instrumentales
Asegurarse de que el seguro está en regla;Instrumentales
Asegurarse de que el servicio empresarial adquirido se pone a disposición del comprador en el formato acordado y en el momento acordado;Básicas
Asegurarse de que las licencias de exportación/importación y otras formalidades están en regla;Específicas
Asegurarse de que los contratos de trabajo cumplen los requisitos legales y firmarlos;Específicas
Asesoramiento a empresas y organismos gubernamentales sobre los procedimientos a seguir en la limpieza de lugares contaminados para proteger a las personas y el medio ambiente;Sistémicas
Asesoramiento en áreas como la gestión de residuos, la selección de rutas y emplazamientos y la restauración de lugares contaminados;Sistémicas
Asesoramiento y diseño de fuselajes, trenes de aterrizaje y otros equipos para aeronaves, así como de sistemas de suspensión, frenos, carrocerías y otros componentes de vehículos de carretera;Específicas
Asesorar a clientes sobre asuntos jurídicos;Interpersonales
Asesorar a clientes sobre casos jurídicos;Interpersonales
Asesorar a directivos y clientes sobre estrategias y campañas para llegar a los mercados objetivo, concienciando a los consumidores y promocionando eficazmente los atributos de los bienes y servicios;Específicas
Asesorar a gobiernos, empresas y comunidades sobre cuestiones y propuestas de planificación urbana y regional;Sistémicas
Asesorar a la dirección sobre nuevos métodos, técnicas y equipos de producción;Instrumentales
Asesorar a los altos directivos;Interpersonales
Asesorar a los altos directivos y a los miembros del consejo de administración sobre cuestiones financieras, administrativas estratégicas, políticas, programáticas y legislativas;Específicas
Asesorar a los clientes sobre la continuación del tratamiento y los cuidados y prestar u organizar servicios de rehabilitación;Sistémicas
Asesorar a los clientes y suministrarles medicamentos sin receta y ayudas diagnósticas y terapéuticas para afecciones comunes  supervisar y coordinar el trabajo de técnicos farmacéuticos, farmacéuticos en prácticas y auxiliares de ventas de farmacia;Instrumentales
Asesorar a los ejecutivos sobre las implicaciones de sus políticas, programas y prácticas en materia de relaciones públicas, preparando y controlando la emisión de noticias y comunicados de prensa;Específicas
Asesorar a los organismos gubernamentales sobre medidas para mejorar los servicios e instalaciones de bienestar;Instrumentales
Asesorar a los organismos gubernamentales sobre medidas para mejorar los servicios e instalaciones de salud y bienestar;Instrumentales
Asesorar o aplicar diversos métodos de recopilación de datos y métodos y técnicas estadísticos, y determinar la fiabilidad de los resultados, especialmente en campos como la empresa o la medicina, así como en otras áreas de las ciencias naturales, sociales o de la vida;Instrumentales
Asesorar o aplicar diversos métodos de recopilación de datos y métodos y técnicas estadísticos, y determinar la fiabilidad de los resultados, especialmente en campos como la empresa o la medicina, así como en otros ámbitos de las ciencias naturales, sociales o de la vida;Instrumentales
Asesorar o aplicar los conocimientos existentes relacionados con las ciencias físicas, las matemáticas, la ingeniería y la tecnología, las ciencias de la vida, los servicios médicos y sanitarios, las ciencias sociales y las humanidades;Sistémicas
Asesorar o aplicar principios, modelos y técnicas matemáticos a una amplia gama de tareas en los campos de la ingeniería, las ciencias naturales, sociales o de la vida;Específicas
Asesorar sobre las instalaciones disponibles y promover la publicidad;Interpersonales
Asesorar sobre los aspectos jurídicos de diversos problemas personales, empresariales y administrativos;Interpersonales
Asesorar sobre planes de formación;Sistémicas
Asesorar sobre principios, modelos y técnicas matemáticos o aplicarlos a una amplia gama de tareas en los campos de la ingeniería, las ciencias naturales, sociales o de la vida;Específicas
Asesorar sobre todos los elementos del marketing, como la combinación de productos, los precios, la publicidad y la promoción de ventas, y los canales de venta y distribución;Interpersonales
Asesorar y aplicar métodos mineros y garantizar su uso óptimo;Instrumentales
Asesorar y consultar a los médicos y otros profesionales de la salud para optimizar el equilibrio entre los efectos beneficiosos y perjudiciales de las radiaciones;Sistémicas
Asesorar y desempeñar funciones de personal relativas a la contratación, colocación, formación, promoción, remuneración y relaciones entre los trabajadores y la dirección u otros ámbitos de la política de personal;Interpersonales
Asesorar y diseñar centrales eléctricas y sistemas que generen, transmitan y distribuyan energía eléctrica;Instrumentales
Asesorar y diseñar centrales y sistemas que generan, transmiten y distribuyen energía eléctrica;Instrumentales
Asesorar y diseñar dispositivos o componentes, circuitos, semiconductores y sistemas electrónicos;Instrumentales
Asesorar y diseñar dispositivos o componentes, sistemas, equipos y centros de distribución de telecomunicaciones;Instrumentales
